strategy_id,name,category,scene,target_state,delivery_mode,duration_min,dosage,triggers,contraindications,safety_level,evidence_level,success_criteria,notes
ANA-001,价-唤醒二维打点,情绪维度,学习/备考;编程/深度工作;睡前,情绪快速标注,自评打点,1,V-A坐标×1次,主观情绪不清晰;需要快速记录,,A,A,完成≤1min且可重复；与PANAS相关≥0.5,映射→EMI/PHY类选择：高价高唤醒→释放途径；低价高唤醒→安抚降唤醒
ANA-002,SUDS主观痛苦,压力评估,突发压力后;公共场合,压力等级,SUDS量表,0.5,0-10×1次,紧张/惊慌自评≥4/7,,A,A,与干预前后ΔSUDS≥2,映射→COG/PHY/RSP启动阈值
ANA-003,PHQ-2微筛,抑郁线索,睡前;学习/备考,低落识别,二题筛查,1,2题×1轮,连续低落≥3天;兴趣下降,,A,A,阳性率与后续PHQ-9一致性≥0.7,阳性仅作线索；映射→EMI/COG类
ANA-004,GAD-2微筛,焦虑线索,开会/沟通;公共场合,焦虑识别,二题筛查,1,2题×1轮,担忧/紧张≥4/7,,A,A,与GAD-7相关≥0.7,阳性仅作线索；映射→PHY/COG
ANA-005,RRS-3反刍短版,认知反刍,睡前;突发压力后,反刍识别,三题自评,1.5,3题×1轮,入睡困难;思维绕圈≥5/7,,A,B,反刍强度与入睡潜伏相关≥0.4,映射→COG-003/COG-005/EMI
ANA-006,情绪标签Top-3,情绪命名,学习/备考;编程/深度工作,情感准确命名,情绪词选择,1,词表选择×1,说不清感受;需要交流,,A,B,命名前后SUDS下降≥1,映射→COG重评/RSP抑制
ANA-007,STAXI-2S愤怒快测,愤怒线索,开会/沟通;公共场合,愤怒水平,四题自评,1,4题×1轮,被挑衅感≥5/7,,A,B,与行为冲动指标一致≥0.5,映射→RSP-001/004/PHY
ANA-008,活力/疲劳VAS,精力评估,久坐疲劳;编程/深度工作,活力水平,VAS滑尺,0.5,0-10×2,困倦评分≥4/7,,A,A,与KSS相关≥0.5,映射→PHY-003/EMI-002/ENV-002
ANA-009,Mini-SPIN-3,社交焦虑线索,开会/沟通;公共场合,社交紧张,三题自评,1,3题×1轮,发言/会面前紧张≥4/7,,A,B,与全量得分相关≥0.7,映射→RSP-002/SOC-002
ANA-010,NASA-TLX微版,认知负荷,编程/深度工作;开会/沟通,负荷水平,三维自评,1.5,心理/时间/努力×各1,错误率上升;切换频繁,,A,B,负荷与错误/切换相关≥0.5,映射→TSK-003/ENV-001/ATT类
ANA-011,HRV-30s快测,生理唤醒,突发压力后;睡前,自主神经状态,传感器HRV,0.5,RMSSD 30秒,心率>100bpm;手心出汗≥3/5,严重心律问题,A,B,与SUDS负相关≥0.4,映射→PHY-001/002/003
ANA-012,皮电EDA-60s,生理唤醒,突发压力后,觉醒强度,皮电传感,1,基线60秒,强情绪波动;手汗明显,,B,B,峰值与事件标注一致≥0.5,映射→RSP/PHY
