strategy_id,name,category,scene,target_state,delivery_mode,duration_min,dosage,triggers,contraindications,safety_level,evidence_level,success_criteria,notes
ATT-001,焦点锚定点,注意分配,编程/深度工作;学习/备考,专注提升,文字提示,3,三点轮询×2轮,任务切换≥3次/10min;走神自评≥4/7,,A,B,错误率↓≥10%,配合计时器使用
ATT-002,视觉扫视重置,注意分配,开会/沟通;编程/深度工作,注意稳定,自我引导,1.5,水平扫视20次,眼压感≥3/5;走神自评≥4/7,眩晕史,B,B,反应时↓≥8%,配合远眺20秒
ATT-003,一物专注法,注意分配,学习/备考,专注提升,计时器提醒,10,单一任务锁定×1段,连续工作>45min;任务切换≥3次/15min,,A,B,干扰次数≤1次,先关掉消息提醒
PHY-001,4-7-8呼吸,生理调节,睡前,放松入睡,呼吸计数,4,4-7-8×4轮,SUDS≥6/10;入睡潜伏>20min,心律不齐,A,B,ΔSUDS≤-2,呼吸以舒适为度
PHY-002,渐进性肌肉放松,生理调节,突发压力后;睡前,身心放松,自我引导,8,8组肌群×1轮,SUDS≥7/10;肌肉紧张≥4/5,急性损伤,A,A,肌肉紧张评分↓≥2,配合缓慢呼气
PHY-003,微步行激活,生理调节,久坐疲劳;编程/深度工作,警觉提升,步行,5,600步,坐姿>60min;困倦评分≥4/7,腿部受伤,A,B,HRV↑≥5ms,走平稳路线
PHY-004,冷热交替敷,生理调节,运动后恢复,酸痛缓解,冷热敷,6,冷3min热3min×1,肌肉酸痛≥3/5;运动后30min内,皮肤过敏;循环不良,B,C,酸痛评分↓≥2,避免破损皮肤
COG-001,认知重评三问,认知改变,突发压力后;开会/沟通,情绪平稳,认知卡片,4,三问法×1轮,SUDS≥6/10;消极自动念≥3次,,A,B,ΔSUDS≤-2,写下证据与替代想法
COG-002,如果那么计划,认知改变,学习/备考;编程/深度工作,启动动力,文字提示,3,IFTHEN×3条,拖延>10min;任务开始困难评分≥4/7,,A,B,启动时间↓≥30%,贴在显眼处
COG-003,证据清单,认知改变,睡前;突发压力后,思维减速,纸笔,5,证据正负各3条,反刍≥5min;思维奔逸≥5/7,,A,C,思维奔逸评分↓≥2,配合缓慢书写
COG-004,目标再定义,认知改变,开会/沟通;编程/深度工作,目标清晰,自我引导,2,SMART重述×1,目标含糊;返工≥2次,,A,B,任务清晰度≥7/10,与同伴确认一次
RSP-001,暂停标记法,反应调整,开会/沟通;公共场合,冲动抑制,震动提醒,0.5,暂停5秒×3次,情绪上升≥5/7;对抗语气出现,,A,B,冲突语句↓≥50%,使用掌心按压提示
RSP-002,延迟回复缓冲,反应调整,开会/沟通,情绪稳态,文字提示,1,等待60秒后回复,被质疑后紧张≥5/7;冲动发言倾向,紧急情况,A,C,自我报告冲动↓≥2,必要时先记要点
RSP-003,STOP流程,反应调整,突发压力后;公共场合,自我调节,自我引导,2,STOP×1轮,心率>100bpm;手心出汗评分≥3/5,需要立即处置情境,A,B,心率↓≥8bpm,完成后再行动
TSK-001,番茄切块,任务结构化,学习/备考;编程/深度工作,节奏稳定,番茄钟,25,25min专注×1,连续工作>45min;错误率>8%,,A,A,产出提升≥15%,间隔休息5min
TSK-002,两分钟法则,任务结构化,学习/备考;开会/沟通,拖延降低,清单卡片,2,2min内立即完成×3项,待办>7项;拖延>10min,,A,B,待办数↓≥30%,先处理最易项
TSK-003,批量处理,任务结构化,编程/深度工作,切换减少,看板,15,同类任务批量×1轮,任务切换≥4次/30min;打断频率≥3次/30min,,A,B,切换次数↓≥40%,屏蔽通知
TSK-004,优先级三色,任务结构化,学习/备考;开会/沟通,目标聚焦,清单卡片,5,高中低各3项,目标含糊;截止期<48h,,A,C,关键任务完成率≥80%,在日程上同步标注
SOC-001,同伴结对,社会调节,学习/备考;编程/深度工作,行为坚持,同伴提醒,30,结对专注×1段,拖延>15min;走神自评≥4/7,,A,B,专注时长↑≥20min,共享屏幕或桌面
SOC-002,会前对齐,社会调节,开会/沟通,信息一致,文字提示,5,议题要点3条,会议目标不清晰;参与者>5人,,A,B,会议超时↓≥30%,主持人先复述目标
SOC-003,群组签到,社会调节,学习/备考;公共场合,承诺提升,群组签到,1,打卡×1次,计划执行率<60%;拖延>10min,,B,C,执行率↑≥20pp,使用固定时段
EMI-001,积极照片回想,情绪诱导,睡前;突发压力后,情绪提升,相册回看,3,3张细品,情绪低落≥5/7;自我批评≥3次,抑郁加重迹象,B,C,PANAS积极分↑≥4分,配合慢呼吸
EMI-002,快速音乐提升,情绪诱导,久坐疲劳;运动后恢复,活力上升,音乐,5,BPM120曲目×1,困倦评分≥4/7;动机低≥4/7,声敏感,B,B,主观活力↑≥2分,使用耳机安全音量
EMI-003,感恩三件事,情绪诱导,睡前,积极情感,纸笔,5,列表×3件,反刍≥5min;情绪低落≥4/7,,A,B,消极情绪评分↓≥2,坚持7天形成惯性
ENV-001,白噪声屏蔽,环境调节,编程/深度工作;学习/备考,干扰降低,白噪声,20,白噪声×1段,噪声干扰≥3/5;打断频率≥3次/30min,耳鸣,A,B,错误率↓≥10%,与降噪耳机合用
ENV-002,光照激活,环境调节,久坐疲劳;驾驶/通勤,警觉提升,光照盒,10,2500lx×10min,困倦评分≥4/7;清晨起床后30min内,光敏感,B,B,瞌睡评分KSS↓≥2,避免直视光源
ENV-003,桌面清理两件事,环境调节,学习/备考;编程/深度工作,启动顺畅,自我引导,4,丢弃或归位×2件,桌面凌乱评分≥3/5;启动困难≥4/7,,A,C,启动时间↓≥20%,只动可见区域
META-001,注意力自评打点,元认知,编程/深度工作;学习/备考,自我监控,App引导,0.5,每10min打点×1次,走神自评≥4/7;连续工作>40min,强迫倾向明显,A,B,自评波动幅度↓≥30%,结合简单折线回看
META-002,PDCA复盘,元认知,学习/备考;开会/沟通,持续改进,纸笔,12,PDCA×1轮,返工≥2次;目标未达成,时间极度紧迫,A,B,下一轮达成率↑≥20pp,限定一页内完成
META-003,错误日志三列,元认知,编程/深度工作,学习优化,文字提示,6,错误原因对策各3条,代码报错≥3次/30min;错误率>10%,,A,C,复发错误↓≥50%,每次提交后更新
SOC-004,请求澄清脚本,社会调节,开会/沟通,误解减少,文字提示,1,澄清句式×3条,指令含糊;冲突苗头出现,,A,B,误解事件↓≥50%,先复述再提问
PHY-005,补水与伸展,生理调节,久坐疲劳;学习/备考,疲劳缓解,拉伸动作卡片,4,饮水200ml加颈肩伸展,坐姿>60min;头痛评分≥2/5,肾功能受限,A,B,头痛评分↓≥1,配合眼保健操
TSK-005,起步五分钟,任务结构化,学习/备考;编程/深度工作,进入状态,计时器提醒,5,起步专注×1段,拖延>10min;任务畏难≥4/7,,A,B,起步率≥90%,只做最小可行步
EMI-004,微笑肌练习,情绪诱导,公共场合;突发压力后,情绪上调,自我引导,1,口角上提30秒×2次,情绪低落≥4/7;社交压力≥4/7,颞颌关节不适,B,C,积极情绪评分↑≥2,配合挺胸姿势
ENV-004,温度微调,环境调节,开会/沟通;学习/备考,舒适优化,自我引导,2,上调或下调1℃,困倦评分≥4/7;出汗评分≥3/5,体温调节障碍,B,C,困倦评分↓≥1,避免过度变化
ATT-004,注意计数回圈,注意分配,驾驶/通勤;编程/深度工作,注意稳定,自我引导,2,数呼吸到10循环×3,困倦评分≥4/7;走神自评≥4/7,驾驶中禁闭眼练习,A,B,走神自评↓≥2,车况安全前提下进行
RSP-004,十秒规则,反应调整,开会/沟通;公共场合,反应抑制,文字提示,0.2,回应前默数10,被挑衅感≥5/7;语速过快,,A,C,打断率↓≥30%,与深呼气配合
COG-005,灾难化拆解,认知改变,睡前;突发压力后,焦虑下降,认知卡片,6,最坏最好最可能各1条,SUDS≥6/10;反刍≥5min,,A,B,ΔSUDS≤-2,写成要点句
META-004,元认知注记,元认知,学习/备考;编程/深度工作,觉察增强,文字提示,1,当下在做什么为何×1句,走神自评≥4/7;效率低于基线≥20%,,A,C,任务回到轨道≤1min,贴在屏幕边缘
